凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,781362973343350784,781362976358793266,ユッシー,614440140173213707,c,スカイワルキューレ,ワンパン ニャル 持ち越し
1,781366659402825759,781366661709430804,ジャハド,661543389581279242,d,マスターセンリ,物理持ち越し1400
1,781380774305857536,781380777229025330,うさまる,652747597739589632,c,スカイワルキューレ,魔法(ふるもち端数)
1,781385663903694888,781385666680061963,jun,474418827250106371,d,マスターセンリ,ワンパン(持ち越しフル)
1,781427941313347605,781427947730370570,たまちゃん,425937517259259906,c,スカイワルキューレ,ワンパン 物理
1,781471553560772638,781471560594096128,ツナ,750706130774392852,b,ワイルドグリフォン,物理1000
1,781475822036058122,781475828507607050,ツナ,750706130774392852,c,スカイワルキューレ,物理1000
1,781482362592296990,781482366593794058,ユッシー,614440140173213707,c,スカイワルキューレ,物理 1200 持ち越し
1,781490450829279232,781490458916290570,ゆうちゃこ,453557021288169481,b,ワイルドグリフォン,物理1200
1,781490502226673678,781490506945134592,ゆうちゃこ,453557021288169481,c,スカイワルキューレ,物理1300くらい
1,781491582045126676,781491585735983134,抹茶ですよ,551525921660731396,a,ワイバーン,ワンパン ニャル
1,781491725046382622,781491729819238420,sakadaka,538639387471249409,d,マスターセンリ,1200-1300
1,781497353923854337,781497359012069396,さいとう,340675991301128192,d,マスターセンリ,1200物理
1,781497392875962368,781497401320013824,さいとう,340675991301128192,c,スカイワルキューレ,1200物理
1,781498440352923679,781498444245106748,さいとう,340675991301128192,e,サジタリウス,800~900魔法
1,781503637587361802,781503642041188364,さいとう,340675991301128192,a,ワイバーン,ニャルワンパン
1,781504305345462292,781504310545743873,超絶最強Canon砲,385069644052168715,d,マスターセンリ,1300 ぶつ
1,781505214380245003,781505217740931072,みみな(プリンセス),603834473041362944,c,スカイワルキューレ,物理 ???(検証中)
1,781505306940276767,781505310383931413,みみな(プリンセス),603834473041362944,d,マスターセンリ,物理 ???(検証中)
1,781505656057364490,781505661056974880,ツナ,750706130774392852,e,サジタリウス,物理持ち越し 450
1,781505850597572678,781505854414389260,超絶最強Canon砲,385069644052168715,c,スカイワルキューレ,物理 ?
